id_dmr	root_mC	leaf_mC	adj_p	fold_change	status
dmr_22318_CG	0.201333333333333	0.591	4.08045981743402e-19	2.93543046357616	equal
dmr_22319_CG	0.606	0.754	0.47360211896352	1.24422442244224	equal
dmr_2231_CG	0.893	0.8655	1.16899826457422e-11	1.0317735413056	equal
dmr_2231_CHG	0.283333333333333	0.222	0.832537877272613	1.27627627627628	equal
dmr_22320_CG	0.251333333333333	0.502	0.0529969996203094	1.9973474801061	equal
dmr_22321_CG	0.898666666666667	0.6715	3.79233278921599e-25	1.33829734425416	equal
dmr_22322_CG	0.925333333333333	0.9115	0.00599853273821149	1.01517644907661	equal
dmr_22323_CG	0.925333333333333	0.9115	0.00599853273821149	1.01517644907661	equal
dmr_22324_CG	0.674333333333333	0.655	0.0041574685246267	1.0295165394402	equal
dmr_22325_CG	0.950333333333333	0.937	0.00172933863473201	1.014229811455	equal
dmr_22326_CG	0.635	0.499	3.7972372932087e-09	1.27254509018036	equal
dmr_22327_CG	0.856	0.9135	0.427017859648445	1.06717289719626	equal
dmr_22328_CG	0.926666666666667	0.9235	0.00787575944836095	1.00342898393792	equal
dmr_22329_CG	0.857	0.84	0.000474585171522691	1.0202380952381	equal
dmr_2232_CG	0.893	0.8655	1.16899826457422e-11	1.0317735413056	equal
dmr_2232_CHG	0.1	0.026	0.455794810464732	3.84615384615385	equal
dmr_22330_CG	0.427666666666667	0.5115	7.0692608036376e-06	1.19602494154326	equal
dmr_22331_CG	0.893333333333333	0.8645	0.080411041996948	1.03335261229998	equal
dmr_22332_CG	0.823333333333333	0.8185	0.00349505967987092	1.00590511097536	equal
dmr_22333_CG	0.828	0.741	1.85895307084624e-05	1.11740890688259	equal
dmr_22334_CG	0.606333333333333	0.3715	0.000949534876564481	1.63212202781516	equal
